client_id	path	sentence	up_votes	down_votes	age	gender	accent
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18306564.mp3	La plaza estaba muy concurrida	0	3	thirties	male	nortepeninsular
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18306845.mp3	en el fin del mundo es como regalarte la vida .	0	2	thirties	male	nortepeninsular
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18306846.mp3	¡ Oye ! ¡ está enferma ! ¡ no , no lo está !	0	2	thirties	male	nortepeninsular
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18306847.mp3	a la primera cubierta . no te separes de ella por nada .	0	3	thirties	male	nortepeninsular
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18306848.mp3	tripulación y pasajeros , cuantos se hallaban sobre cubierta , agolpáronse a la borda .	1	3	thirties	male	nortepeninsular
5d616fbeb235ea174cc73794b8f3ef28be4d414a941d428798511deb57f2eca502aaf1d69a4c1f9346293b81f172879eac5eceb2ec771a4af5d3fc1f4e0274bb	common_voice_es_18307260.mp3	tú debías tenerlos ...	1	2	thirties	male	nortepeninsular
8d9937b88227497ab43d9eebdea32b61100f53e7c749e32ba444f55316a37caa584e2a8c10ccc825934ffb268a7d01efcc88377d8133a0da9c0ee0b97d5e183b	common_voice_es_18307762.mp3	porque ... para un viaje ...	0	3	fifties	male	
8d9937b88227497ab43d9eebdea32b61100f53e7c749e32ba444f55316a37caa584e2a8c10ccc825934ffb268a7d01efcc88377d8133a0da9c0ee0b97d5e183b	common_voice_es_18307768.mp3	Es el único que he tenido .	0	3	fifties	male	
8d9937b88227497ab43d9eebdea32b61100f53e7c749e32ba444f55316a37caa584e2a8c10ccc825934ffb268a7d01efcc88377d8133a0da9c0ee0b97d5e183b	common_voice_es_18307769.mp3	Estaba en la cima del mundo viviendo bien	0	3	fifties	male	
8d9937b88227497ab43d9eebdea32b61100f53e7c749e32ba444f55316a37caa584e2a8c10ccc825934ffb268a7d01efcc88377d8133a0da9c0ee0b97d5e183b	common_voice_es_18307770.mp3	A la cama no te irás sin saber una cosa más.	1	2	fifties	male	
